id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4822448489103570,M9pZeCcfM,6063594411,梅梅奶油闻,本来上周末要和@给潇闻塞茴香啦-去潇闻去过的游乐乐乐乐场结果疫情来了后来说下周末要一起去吃一家韩餐已经在红薯上看好了然后疫情又来了现在的生活就是每一天都在痛恨疫情每一天生活中的方方面面都被疫情困住脚步还能看的见头吗？真的还有尽头吗？,,,给潇闻塞茴香啦-,,1,2,2,2022-10-08 23:59,,['https://wx1.sinaimg.cn/large/006CmdTRgy1h6ybo5a2ovj30qo11ydkq.jpg'],,
4822448484913162,M9pZekC8y,2502641985,廖cinting88,md疫情结束以后第一个想去香港看一次红馆演唱会第二个日本看富士山第三个冰岛看极光有生之年一定要去,,,,,1,3,3,2022-10-08 23:59,nova7你在焦点在,,,
4822448480978345,M9pZe46vL,5145654544,大两山居民,疫情下，多看书。,,,,,0,0,0,2022-10-08 23:59,iPhone客户端,,,
4822448472589742,M9pZdaRI2,6479751574,TereSa_Syy,这逼疫情,,,,,0,0,0,2022-10-08 23:59,iPhone客户端,['https://wx2.sinaimg.cn/large/0074wnoaly1h6ybo1n7a7j30ds0d20tc.jpg'],,
4822448471803581,M9pZd7zc1,6300077833,Mumuay,麦刻风#我的国庆七天心情包#、#麦刻风绘画课堂#@麦刻风拖巡察的福，终于能过个没有工作的快乐假期！虽然疫情不让出远门，周边游也还是很开心的我瓜的国庆七天，本想画成一个系列，画着画着就歪了……,,,麦刻风,"我的国庆七天心情包,麦刻风绘画课堂",0,0,0,2022-10-08 23:59,iPhone客户端,"['https://wx1.sinaimg.cn/large/006Smu2Bgy1h6ybmig2q8j31kw1kw7v1.jpg', 'https://wx1.sinaimg.cn/large/006Smu2Bgy1h6ybmk48d1j31kw1kw1ge.jpg', 'https://wx1.sinaimg.cn/large/006Smu2Bgy1h6ybmlojktj31kw1kw1gw.jpg', 'https://wx3.sinaimg.cn/large/006Smu2Bgy1h6ybmnemqrj31kw1kwkjl.jpg', 'https://wx1.sinaimg.cn/large/006Smu2Bgy1h6ybmp1x3sj31kw1kwb29.jpg', 'https://wx1.sinaimg.cn/large/006Smu2Bgy1h6ybmgtnxrj31kw1kwnkf.jpg', 'https://wx2.sinaimg.cn/large/006Smu2Bgy1h6ybmrh3l3j31kw1kwh4n.jpg']",,
4822448464462580,M9pZciIV6,6132107557,喜笑颜开pqam,贰零贰贰年十月八日晚下雪了今年第一场疫情并没有要好转的迹象天气越来越冷考研的钟声也越敲越响以身体健康为基础坚定地把剩下的备考的日子走完疫情终会过去我们终会上岸没有什么能阻挡春天的到来期待花开的那天（一定张扬而热烈）——Q仔的碎碎念,,呼和浩特·内蒙古农业大学新区,,,0,0,3,2022-10-08 23:59,nova5Pro人像超级夜景,,,
4822448456075094,M9pZbpupo,6025618225,Robyonly-,#兰州疫情#想问问没有本土病例都是外地输入病例为啥划高风险区了,,,,兰州疫情,0,7,20,2022-10-08 23:59,iPhone客户端,,,
4822448446378936,M9pZaqLs4,6029467664,活的不如自家狗,希望舅妈能挺过来🙏新疆疫情快点控制住吧,,,,,0,3,1,2022-10-08 23:59,HUAWEI Mate 40 Pro,,,
4822448435103314,M9pZ9lpBw,5503103675,深海里的小雏菊,疫情被困空房的猫猫，多亏邻居阿姨帮忙投喂，疫情退散吧,,,,,0,0,3,2022-10-08 23:59,Android,"['https://wx3.sinaimg.cn/large/0060qsEHly1h6ybhfoly4j30qo0avq3d.jpg', 'https://wx4.sinaimg.cn/large/0060qsEHly1h6ybj1w185j30qo0lmta7.jpg']",,
4822448426191003,M9pZ8pYyT,5137338359,平安喜德,【管控首日，我们，1300余名民辅警和你在一起】10月6日，广元市利州区（含广元市经开区）实行临时性社会管控，疫情就是命令，防控就是责任。@平安广元1300余名警力奋战在一线，16个“两站一场”防疫卡点监测服务，136个重点场所，42个临时管控卡点值守…并肩作战，我们和你在一起，竭“警”全力！L平安广元的微博视频,,,平安广元,,0,0,0,2022-10-08 23:59,微博视频号,,"http://f.video.weibocdn.com/o0/VxeyagCGlx07ZOOEGBXq01041200NSa00E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1666622113&ssig=rBKfSL3Zer&KID=unistore,video",
4822448405221126,M9pZ6lUfI,2536838870,桃子不是桃子T,被疫情偷走的第三年，生日快乐,,,,,0,2,4,2022-10-08 23:59,iPhone 12,,,
4822448400237945,M9pZ60ZTP,1674049221,西湖之声李萌,一出巜惊梦》看到心酸时老泪纵横。唱“游园惊梦”的不愿唱“白毛女”，那份对自己行当规矩的倔强，是角儿的强烈自尊。可为了吃饭，就要接戏！坚持，是对是错？当谢幕时，大家鼓声雷动，疫情之下，全场满座，也许就是答案。捷径或长路，目标不同，终点不一，是朝自己想去的地方，就好了……,,,,,0,0,0,2022-10-08 23:59,iPhone客户端,"['https://wx1.sinaimg.cn/large/63c7f6c5gy1h6ybmjgnf5j23402c0x6q.jpg', 'https://wx1.sinaimg.cn/large/63c7f6c5gy1h6ybml8ul6j23402c0b2b.jpg', 'https://wx4.sinaimg.cn/large/63c7f6c5gy1h6ybmn2ddwj23402c0kjm.jpg', 'https://wx1.sinaimg.cn/large/63c7f6c5gy1h6ybmnpob0j20u018zq60.jpg']",,
4822448396566651,M9pZ5ryhJ,2441068434,sometimes安宁,#疫情##仪陇#四川仪陇：全域暂停一切非必要人员流动，城市小区封闭管理，全体居民居家。Lsometimes安宁的微博视频,,,,"疫情,仪陇",0,1,1,2022-10-08 23:59,微博视频号,,"http://f.video.weibocdn.com/o0/XGk9Y60Slx07ZPHgQe1O010412005BaK0E010.mp4?label=mp4_720p&template=576x1024.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1666622113&ssig=jedpz4TYHV&KID=unistore,video",
4822448388183068,M9pZ4ykMY,5750833778,是你的阿齐啦,我的宝贝结婚啦～祝玮玮猪新婚快乐三年抱俩！因为疫情没能去现场一定是这辈子最遗憾的事情了希望以后别再有遗憾了@糊涂小liu,,,糊涂小liu,,0,2,7,2022-10-08 23:59,nova8 我由我掌镜,"['https://wx3.sinaimg.cn/large/006hbUzwly1h6ybgy9bddj31900u0436.jpg', 'https://wx4.sinaimg.cn/large/006hbUzwly1h6ybgfrl5sj30qo0zkgp0.jpg']",,
4822448387659114,M9pZ4w8u6,2162747474,jay涂,看完万里归途后后劲很大，疫情前去了泰国和柬埔寨，最让我难忘的是柬埔寨之旅。我只记得这个国家的高物价还有每天一睁眼就是三十多度的高温天气，接触到的本地人都还友好，某些国人不想说了。庆幸当初立马决断买张机票回国，这种国家不适合发展。,,,,,0,0,1,2022-10-08 23:59,微博 weibo.com,,,
